,,Holiday,Problem,US Day - April,,,,,US Ev. - May,,,US Day - May,,,,,,US/FR - July,,,,,,US Ev. - July,,
Fri.,  08/28,,FALSE,,,,,,,,,,,,,,  08/28,40,B1.4.10-11 Timeseries,Fanbo,B1.4.10-11 Timeseries,Fanbo,  08/28,,,
Sat.,  08/29,,FALSE,,,,,,,,,,,,,,  08/29,,,,,,  08/29,32,Personal Project,Sami
Mon.,  08/31,,FALSE,,,,,,,,,,,,,,  08/31,41,A2.2 AWS,Quang,A2.2 AWS,Quang,  08/31,,,
Tue.,  09/01,,FALSE,,,,,,,,,,,,,,  09/01,42,B1.7 RL & AI in videogames,Mustafa,B1.7 RL & AI in videogames,Mustafa,  09/01,33,B1.1.9-11 ML Unsupervised Learning,Sami
Wed.,  09/02,,FALSE,,,,,,,,,,,,,,  09/02,43,A1.7 Algorithmic & Complexity,Dmitry,B2.1 Image Processing,Fanbo,  09/02,34,B1.1.9-11 ML Unsupervised Learning,Sami
Thu.,  09/03,,FALSE,,,,,,,,,,,,,,  09/03,44,A1.7 Algorithmic & Complexity,Dmitry,B2.1 Image Processing,Fanbo,  09/03,35,Personal project,Sami
Fri.,  09/04,,FALSE,,,,,,,,,,,,,,  09/04,45,A1.7 Algorithmic & Complexity,Dmitry,B2.1 Image Processing,Fanbo,  09/04,,,
Sat.,  09/05,,FALSE,,,,,,,,,,,,,,  09/05,,,,,,  09/05,36,Personal Project,Sami
Mon.,  09/07,US,FALSE,,,,,,X,Labor Day,,,,,,,  09/07,X,Labor Day,,,,  09/07,X,Labor Day,
Tue.,  09/08,,FALSE,,,,,,,,,,,,,,  09/08,46,B2.2 Face Detection,Dmitry,B2.2 Face Detection,Fanbo,  09/08,37,B1.3.1-3 Tensorflow Intro,Sami
Wed.,  09/09,,FALSE,,,,,,,,,,,,,,  09/09,47,B2.2 Face Detection,Dmitry,Personal Project,PP,  09/09,38,B1.3.1-3 Tensorflow Intro,Sami
Thu.,  09/10,,FALSE,,,,,,,,,,,,,,  09/10,48,A2.2 AWS,Quang,A2.2 AWS,Quang,  09/10,39,B1.3.1-3 Tensorflow Intro,Sami
Fri.,  09/11,,FALSE,,,,,,,,,,,,,,  09/11,49,B2.3 Natural Language Processing,Dmitry,B2.3 Natural Language Processing,Fanbo,  09/11,,,
Sat.,  09/12,,FALSE,,,,,,,,,,,,,,  09/12,,,,,,  09/12,40,A2.1 Big Data archi & Hadoop,Mustafa
Mon.,  09/14,,FALSE,,,,,,,,,,,,,,  09/14,50,B2.3 Natural Language Processing,Dmitry,"D0 Interview preparation, HR",Jad,  09/14,,,
Tue.,  09/15,,FALSE,,,,,,,,,,,,,,  09/15,51,B2.4 Speech representation & recognition,Dmitry,"D0 Interview preparation, HR",Jad,  09/15,41,A1.2 Git / GitHub,Sami
Wed.,  09/16,,FALSE,,,,,,,,,,,,,,  09/16,52,B2.4 Speech representation & recognition,Dmitry,B2.5 Chatbot for medical diagnosis,Mustafa,  09/16,42,A1.2 Git / GitHub,Sami
Thu.,  09/17,,FALSE,,,,,,,,,,,,,,  09/17,53,B2.4 Speech representation & recognition,Dmitry,B2.5 Chatbot for medical diagnosis,Mustafa,  09/17,43,B1.2 ML Workshop,Sami
Fri.,  09/18,,FALSE,,,,,,,,,,,,,,  09/18,54,"D1 Interview questions, ML",Dmitry,Personal Project,PP,  09/18,,,
Sat.,  09/19,,FALSE,,,,,,,,,,,,,,  09/19,,,,,,  09/19,44,A2.1 Big Data archi & Hadoop,Mustafa
Mon.,  09/21,,FALSE,,,,,,,,,,,,,,  09/21,55,B2.6 Computer Vision for Autonomous Cars,Mustafa,B2.6 Computer Vision for Autonomous Cars,Mustafa,  09/21,,,
Tue.,  09/22,,FALSE,,,,,,,,,,,,,,  09/22,56,"D1 Interview questions, ML",Dmitry,Personal Project,PP,  09/22,45,B1.2 ML Workshop,Sami
Wed.,  09/23,,FALSE,,,,,,,,,,,,,,  09/23,57,"D2 Interview questions, ML / algorithms",Dmitry,Personal Project,PP,  09/23,46,B1.4.1-2 Deep Learning - ANN,Sami
Thu.,  09/24,,FALSE,,,,,,,,,,,,,,  09/24,58,"D2 Interview questions, algorithms",Dmitry,Personal Project,PP,  09/24,47,B1.4.1-2 Deep Learning - ANN,Sami
Fri.,  09/25,,FALSE,,,,,,,,,,,,,,  09/25,59,"D2 Interview questions, algorithms",Dmitry,Personal Project,PP,  09/25,,,
Sat.,  09/26,,FALSE,,,,,,,,,,,,,,  09/26,,,,,,  09/26,48,B1.4.3-4 Deep Learning - CNN,Sami
Mon.,  09/28,,FALSE,,,,,,,,,,,,,,  09/28,60,Team Project presentation,Dmitry,Team Project presentation,Dmitry,,,,
Tue.,  09/29,,FALSE,,,,,,,,,,,,,,,,,,,,,49,B1.4.3-4 Deep Learning - CNN,Sami
Wed.,  09/30,,FALSE,,,,,,,,,,,,,,,,,,,,,50,B1.4.3-4 Deep Learning - RNN,Sami
Thu.,  10/01,,FALSE,,,,,,,,,,,,,,,,,,,,,51,B1.4.3-4 Deep Learning - RNN,Sami
Fri.,  10/02,,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Sat.,  10/03,,FALSE,,,,,,,,,,,,,,,,,,,,,52,Personal project,Sami
Mon.,  10/05,,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Tue.,  10/06,,FALSE,,,,,,,,,,,,,,,,,,,,,53,B1.5 Customer Segmentation,Sami
Wed.,  10/07,,FALSE,,,,,,,,,,,,,,,,,,,,,54,B1.5 Customer Segmentation,Sami
Thu.,  10/08,,FALSE,,,,,,,,,,,,,,,,,,,,,55,B1.5 Customer Segmentation,Sami
Fri.,  10/09,,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Sat.,  10/10,,FALSE,,,,,,,,,,,,,,,,,,,,,56,B1.5 Customer Segmentation,Sami
Mon.,  10/12,US,FALSE,,,,,,X,Columbus Day,,,,,,,,,,,,,,X,Columbus Day,
Tue.,  10/13,,FALSE,,,,,,,,,,,,,,,,,,,,,57,B1.4.7-9 Deep Learning - Auto-encoders,Sami
Wed.,  10/14,,FALSE,,,,,,,,,,,,,,,,,,,,,58,B1.4.7-9 Deep Learning - Auto-encoders,Sami
Thu.,  10/15,,FALSE,,,,,,,,,,,,,,,,,,,,,59,B1.4.7-9 Deep Learning - Auto-encoders,Sami
Fri.,  10/16,,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Sat.,  10/17,,FALSE,,,,,,,,,,,,,,,,,,,,,60,A2.2 AWS,Quang
Mon.,  10/19,,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Tue.,  10/20,,FALSE,,,,,,,,,,,,,,,,,,,,,61,B1.4.7-9 Deep Learning - Auto-encoders,Sami
Wed.,  10/21,,FALSE,,,,,,,,,,,,,,,,,,,,,62,B1.6 Fraud Detection,Sami
Thu.,  10/22,,FALSE,,,,,,,,,,,,,,,,,,,,,63,B1.6 Fraud Detection,Sami
Fri.,  10/23,,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Sat.,  10/24,,FALSE,,,,,,,,,,,,,,,,,,,,,64,A2.2 AWS,Quang
Mon.,  10/26,,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Tue.,  10/27,,FALSE,,,,,,,,,,,,,,,,,,,,,65,B1.4.10-11 Timeseries,Sami
Wed.,  10/28,,FALSE,,,,,,,,,,,,,,,,,,,,,66,B1.4.10-11 Timeseries,Sami
Thu.,  10/29,,FALSE,,,,,,,,,,,,,,,,,,,,,67,B1.4.10-11 Timeseries,Sami
Fri.,  10/30,,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Sat.,  10/31,,FALSE,,,,,,,,,,,,,,,,,,,,,68,A2.2 AWS,Quang
Mon.,  11/02,,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Tue.,  11/03,,FALSE,,,,,,,,,,,,,,,,,,,,,69,B1.4.10-11 Timeseries,Sami
Wed.,  11/04,,FALSE,,,,,,,,,,,,,,,,,,,,,70,B1.7 RL & AI in videogames,Sami
Thu.,  11/05,,FALSE,,,,,,,,,,,,,,,,,,,,,71,B1.7 RL & AI in videogames,Sami
Fri.,  11/06,,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Sat.,  11/07,,FALSE,,,,,,,,,,,,,,,,,,,,,72,Personal project,Sami
Mon.,  11/09,,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Tue.,  11/10,,FALSE,,,,,,,,,,,,,,,,,,,,,73,B2.1 Image Processing,Sami
Wed.,  11/11,FR,FALSE,,,,,,,,,,,,,,,,,,,,,74,B2.1 Image Processing,Sami
Thu.,  11/12,,FALSE,,,,,,,,,,,,,,,,,,,,,75,B2.1 Image Processing,Sami
Fri.,  11/13,,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Sat.,  11/14,,FALSE,,,,,,,,,,,,,,,,,,,,,76,B2.2 Face Detection,Sami
Mon.,  11/16,,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Tue.,  11/17,,FALSE,,,,,,,,,,,,,,,,,,,,,77,B2.2 Face Detection,Sami
Wed.,  11/18,,FALSE,,,,,,,,,,,,,,,,,,,,,78,B2.2 Face Detection,Sami
Thu.,  11/19,,FALSE,,,,,,,,,,,,,,,,,,,,,79,B2.3 Natural Language Processing,Sami
Fri.,  11/20,,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Sat.,  11/21,,FALSE,,,,,,,,,,,,,,,,,,,,,80,B2.3 Natural Language Processing,Sami
Mon.,  11/23,,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Tue.,  11/24,,FALSE,,,,,,,,,,,,,,,,,,,,,81,B2.4 Speech representation & recognition,Sami
Wed.,  11/25,,FALSE,,,,,,,,,,,,,,,,,,,,,82,B2.4 Speech representation & recognition,Sami
Thu.,  11/26,,FALSE,,,,,,,,,,,,,,,,,,,,,83,B2.4 Speech representation & recognition,Sami
Fri.,  11/27,,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Sat.,  11/28,,FALSE,,,,,,,,,,,,,,,,,,,,,84,Person project,Sami
Mon.,  11/30,,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Tue.,  12/01,,FALSE,,,,,,,,,,,,,,,,,,,,,85,B1.7 RL & AI in videogames,Sami
Wed.,  12/02,,FALSE,,,,,,,,,,,,,,,,,,,,,86,B1.7 RL & AI in videogames,Sami
Thu.,  12/03,,FALSE,,,,,,,,,,,,,,,,,,,,,87,A1.7 Algorithmic & Complexity(2/2),Sami
Fri.,  12/04,,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Sat.,  12/05,,FALSE,,,,,,,,,,,,,,,,,,,,,88,A1.7 Algorithmic & Complexity(2/2),Sami
Mon.,  12/07,,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Tue.,  12/08,,FALSE,,,,,,,,,,,,,,,,,,,,,89,B2.5 Chatbot for medical diagnosis,Sami
Wed.,  12/09,,FALSE,,,,,,,,,,,,,,,,,,,,,90,B2.5 Chatbot for medical diagnosis,Sami
Thu.,  12/10,,FALSE,,,,,,,,,,,,,,,,,,,,,91,"D1 Interview questions, ML",Sami
Fri.,  12/11,,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Sat.,  12/12,,FALSE,,,,,,,,,,,,,,,,,,,,,92,Personal project,Sami
Mon.,  12/14,,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Tue.,  12/15,,FALSE,,,,,,,,,,,,,,,,,,,,,93,"D1 Interview questions, ML",Sami
Wed.,  12/16,,FALSE,,,,,,,,,,,,,,,,,,,,,94,"D1 Interview questions, ML",Sami
Thu.,  12/17,,FALSE,,,,,,,,,,,,,,,,,,,,,95,"D1 Interview questions, ML",Sami
Fri.,  12/18,,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Sat.,  12/19,,FALSE,,,,,,,,,,,,,,,,,,,,,96,B2.6 Computer Vision for Autonomous Cars,Sami
Mon.,  12/21,,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Tue.,  12/22,,FALSE,,,,,,,,,,,,,,,,,,,,,97,B2.6 Computer Vision for Autonomous Cars,Sami
Wed.,  12/23,,FALSE,,,,,,,,,,,,,,,,,,,,,98,"D0 Interview preparation, HR",Sami
Thu.,  12/24,,FALSE,,,,,,,,,,,,,,,,,,,,,99,Personal Project,Sami
Fri.,  12/25,FR/US,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Sat.,  12/26,,FALSE,,,,,,,,,,,,,,,,,,,,,100,Team presentation ,Sami
Mon.,  12/28,,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Tue.,  12/29,,FALSE,,,,,,,,,,,,,,,,,,,,,101,,Sami
Wed.,  12/30,,FALSE,,,,,,,,,,,,,,,,,,,,,102,,Sami
Thu.,  12/31,,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Fri.,  01/01,FR/US,FALSE,,,,,,,,,,,,,,,,,,,,,,,
Sat.,  01/02,,FALSE,,,,,,,,,,,,,,,,,,,,,,,
