Date,Days,TimeA,Morning,TimeB,Afternoon,TimeC,Evening,TimeD,Saturdays
2020-10-03,Saturday,,,,,,,,
2020-10-05,Monday,,,,,,,,
2020-10-06,Tuesday,,,,,,,,
2020-10-07,Wednesday,,,,,,,,
2020-10-08,Thursday,,,,,,,,
2020-10-09,Friday,,,,,,,,
2020-10-10,Saturday,,,,,,,,
2020-10-12,Monday,,,,,,,,
2020-10-13,Tuesday,,,,,,,,
2020-10-14,Wednesday,,,,,,,,
2020-10-15,Thursday,,,,,,,,
2020-10-16,Friday,,,,,,,,
2020-10-17,Saturday,,,,,,,,
2020-10-19,Monday,,,,,,,,
2020-10-20,Tuesday,,,,,,,,
2020-10-21,Wednesday,,,,,,,,
2020-10-22,Thursday,,,,,,,,
2020-10-23,Friday,,,,,,,,
2020-10-24,Saturday,,,,,,,,
2020-10-26,Monday,,,,,,,,
2020-10-27,Tuesday,,,,,,,,
2020-10-28,Wednesday,,,,,,,,
2020-10-29,Thursday,,,,,,,,
2020-10-30,Friday,,,,,,,,
2020-10-31,Saturday,,,,,,,,
2020-11-02,Monday,,,,,,,,
2020-11-03,Tuesday,,,,,,,,
2020-11-04,Wednesday,,,,,,,,
2020-11-05,Thursday,,,,,,,,
2020-11-06,Friday,,,,,,,,
2020-11-07,Saturday,,,,,,,,
2020-11-09,Monday,,,,,,,,
2020-11-10,Tuesday,,,,,,,,
2020-11-11,Wednesday,,,,,,,,
2020-11-12,Thursday,,,,,,,,
2020-11-13,Friday,,,,,,,,
2020-11-14,Saturday,,,,,,,,
2020-11-16,Monday,,,,,,,,
2020-11-17,Tuesday,,,,,,,,
2020-11-18,Wednesday,,,,,,,,
2020-11-19,Thursday,,,,,,,,
2020-11-20,Friday,,,,,,,,
2020-11-21,Saturday,,,,,,,,
2020-11-23,Monday,,,,,,,,
2020-11-24,Tuesday,,,,,,,,
2020-11-25,Wednesday,,,,,,,,
2020-11-26,Thursday,,,,,,,,
2020-11-27,Friday,,,,,,,,
2020-11-28,Saturday,,,,,,,,
2020-11-30,Monday,,,,,,,,
2020-12-01,Tuesday,,,,,,,,
2020-12-02,Wednesday,,,,,,,,
2020-12-03,Thursday,,,,,,,,
2020-12-04,Friday,,,,,,,,
2020-12-05,Saturday,,,,,,,,
2020-12-07,Monday,,,,,,,,
2020-12-08,Tuesday,,,,,,,,
2020-12-09,Wednesday,,,,,,,,
2020-12-10,Thursday,,,,,,,,
2020-12-11,Friday,,,,,,,,
2020-12-12,Saturday,,,,,,,,
2020-12-14,Monday,,,,,,,,
2020-12-15,Tuesday,,,,,,,,
2020-12-16,Wednesday,,,,,,,,
2020-12-17,Thursday,,,,,,,,
2020-12-18,Friday,,,,,,,,
2020-12-19,Saturday,,,,,,,,
2020-12-21,Monday,,,,,,,,
2020-12-22,Tuesday,,,,,,,,
